image1,image2,label
/home/seif_elkerdany/projects/Dataset/Hijab/851d7eb173306170c6e2a151b543fc94.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_851d7eb173306170c6e2a151b543fc94.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/31x-pXJG2mL._AC_UY445_.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_31x-pXJG2mL._AC_UY445_.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/612832f9ae6acfa9d2d9225ef69a2a68.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_612832f9ae6acfa9d2d9225ef69a2a68.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/item_XL_26042345_48049987.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_item_XL_26042345_48049987.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/istockphoto-1070928392-612x612.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_istockphoto-1070928392-612x612.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/Sarah-Alizerig.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_Sarah-Alizerig.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/BSDRHijCIAEzlru.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_BSDRHijCIAEzlru.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/c2f6ee44ef5973b6f2c9c3a610979fe4.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_c2f6ee44ef5973b6f2c9c3a610979fe4.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/1479326-669529771.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_1479326-669529771.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/807c56ee46bdf9b9811d884ad03effae.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_807c56ee46bdf9b9811d884ad03effae.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/0e59b3766f8a43fd00912ef0c6d5bb96.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_0e59b3766f8a43fd00912ef0c6d5bb96.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/muslim-hijab-woman-dailybruin.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_muslim-hijab-woman-dailybruin.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/10383092_1575468822709359_1814590377241819629_n.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_10383092_1575468822709359_1814590377241819629_n.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/a567a4df4f7293c0951a6439ef25fe8d0671ce10.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_a567a4df4f7293c0951a6439ef25fe8d0671ce10.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/2697.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_2697.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/61309b267819d2708162d40e98c47674.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_61309b267819d2708162d40e98c47674.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/166eb470029c5256bfc8b5d860c930a4.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_166eb470029c5256bfc8b5d860c930a4.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/61733c-20180924-muslim-women-candidates01.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_61733c-20180924-muslim-women-candidates01.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/61733c-20180924-muslim-women-candidates01.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_61733c-20180924-muslim-women-candidates01.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/9a626b213a0cee374d128b55367079aec5-26-adena-the-bold-type.rsquare.w700.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_9a626b213a0cee374d128b55367079aec5-26-adena-the-bold-type.rsquare.w700.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/05a332ae86b7bc00f0c9a04dd1bb6088.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_05a332ae86b7bc00f0c9a04dd1bb6088.jpg,1
/home/seif_elkerdany/projects/Dataset/Hijab/61733c-20180924-muslim-women-candidates01.jpg,/home/seif_elkerdany/projects/Dataset/Hijab/aug_61733c-20180924-muslim-women-candidates01.jpg,1
